Population,Community,Individual,Pop_com_code,Com_indiv_code,Drumming_bout,Ratio_i,Ratio,Subspecies,Days_before_2024
Budongo,Waibira,Individual 92,Budongo (Waibira),Waibira (Individual 92),536,3,0.49532658988820966,Eastern,1396.0
Budongo,Waibira,Individual 79,Budongo (Waibira),Waibira (Individual 79),537,1,0.31868085175263244,Eastern,1396.0
Budongo,Waibira,Individual 79,Budongo (Waibira),Waibira (Individual 79),537,2,0.5040649797985998,Eastern,1396.0
Budongo,Waibira,Individual 83,Budongo (Waibira),Waibira (Individual 83),538,1,0.09374165930975012,Eastern,1396.0
Budongo,Waibira,Individual 83,Budongo (Waibira),Waibira (Individual 83),538,2,0.8788741578458774,Eastern,1396.0
Budongo,Waibira,Individual 83,Budongo (Waibira),Waibira (Individual 83),539,1,0.06935561154719987,Eastern,1396.0
Budongo,Waibira,Individual 83,Budongo (Waibira),Waibira (Individual 83),539,2,0.9365006054269004,Eastern,1396.0
Budongo,Waibira,Individual 92,Budongo (Waibira),Waibira (Individual 92),540,1,0.8626991565135895,Eastern,1396.0
Budongo,Waibira,Individual 92,Budongo (Waibira),Waibira (Individual 92),540,2,0.13186912102254827,Eastern,1396.0
Budongo,Waibira,Individual 79,Budongo (Waibira),Waibira (Individual 79),542,1,0.18705001362987672,Eastern,1396.0
Budongo,Waibira,Individual 79,Budongo (Waibira),Waibira (Individual 79),543,1,0.6075273865921462,Eastern,1396.0
Budongo,Waibira,Individual 83,Budongo (Waibira),Waibira (Individual 83),548,1,0.10204071019702692,Eastern,1386.0
Budongo,Waibira,Individual 83,Budongo (Waibira),Waibira (Individual 83),548,2,0.9377049714477828,Eastern,1386.0
Budongo,Waibira,Individual 85,Budongo (Waibira),Waibira (Individual 85),552,1,0.175718436772743,Eastern,208.0
Budongo,Waibira,Individual 87,Budongo (Waibira),Waibira (Individual 87),555,1,0.5828570612104933,Eastern,203.0
Budongo,Waibira,Individual 87,Budongo (Waibira),Waibira (Individual 87),555,2,0.6239314412720124,Eastern,203.0
Budongo,Waibira,Individual 87,Budongo (Waibira),Waibira (Individual 87),555,3,0.448979418268413,Eastern,203.0
Budongo,Waibira,Individual 87,Budongo (Waibira),Waibira (Individual 87),556,1,0.19937755469907886,Eastern,203.0
Budongo,Waibira,Individual 79,Budongo (Waibira),Waibira (Individual 79),557,1,0.23913059177822338,Eastern,203.0
Budongo,Waibira,Individual 83,Budongo (Waibira),Waibira (Individual 83),567,1,0.6111119870086872,Eastern,179.0
Budongo,Waibira,Individual 80,Budongo (Waibira),Waibira (Individual 80),576,1,0.5,Eastern,166.0
Budongo,Waibira,Individual 77,Budongo (Waibira),Waibira (Individual 77),577,1,0.5637593521881845,Eastern,166.0
Budongo,Waibira,Individual 80,Budongo (Waibira),Waibira (Individual 80),585,1,0.23484826753106844,Eastern,159.0
Budongo,Waibira,Individual 80,Budongo (Waibira),Waibira (Individual 80),585,2,0.5812924659424958,Eastern,159.0
Budongo,Waibira,Individual 80,Budongo (Waibira),Waibira (Individual 80),585,3,0.8083406570803493,Eastern,159.0
Budongo,Waibira,Individual 80,Budongo (Waibira),Waibira (Individual 80),585,4,0.19770178128827554,Eastern,159.0
Budongo,Waibira,Individual 80,Budongo (Waibira),Waibira (Individual 80),585,5,0.2966101241676843,Eastern,159.0
Fongoli,Fongoli,Individual 13,Fongoli (Fongoli),Fongoli (Individual 13),588,1,0.3253972077427809,Western,190.0
Fongoli,Fongoli,Individual 13,Fongoli (Fongoli),Fongoli (Individual 13),588,2,0.49707586769965306,Western,190.0
Fongoli,Fongoli,Individual 13,Fongoli (Fongoli),Fongoli (Individual 13),588,3,0.5548386717786246,Western,190.0
Fongoli,Fongoli,Individual 13,Fongoli (Fongoli),Fongoli (Individual 13),589,1,0.49397549051821926,Western,192.0
Fongoli,Fongoli,Individual 13,Fongoli (Fongoli),Fongoli (Individual 13),589,2,0.5454545454545454,Western,192.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,1,0.515151582454192,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,2,0.4848484175458079,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,3,0.515151582454192,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,4,0.4571426776507838,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,5,0.47499990838430217,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,6,0.3925230700100829,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,7,0.6500004397550271,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,8,0.43209851967135987,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,9,0.5348838398472788,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,10,0.48192764700895757,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,11,0.530864309240291,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,12,0.520548027726685,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,13,0.47945197227331504,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,14,0.27142837697902894,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),592,15,0.7132868566531666,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,1,0.3037974465207897,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,2,0.6707318694393577,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,3,0.45000022710652654,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,4,0.4925370098821826,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,5,0.2677164340526343,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,6,0.5923569034965981,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,7,0.6956518519286511,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,8,0.2616823858122719,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,9,0.28315409035409034,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,10,0.8658008709081063,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,11,0.44927533369801986,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),593,12,0.4935062406982361,Western,194.0
Fongoli,Fongoli,Individual 15,Fongoli (Fongoli),Fongoli (Individual 15),594,1,0.5542851862430485,Western,194.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),596,1,0.5075753558705995,Western,198.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),596,2,0.19174029947397314,Western,198.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),596,3,0.8670887860158955,Western,198.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),596,4,0.6176480220834211,Western,198.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),596,5,0.3880584257711594,Western,198.0
Fongoli,Fongoli,Individual 13,Fongoli (Fongoli),Fongoli (Individual 13),604,1,0.6733065769072683,Western,205.0
Fongoli,Fongoli,Individual 13,Fongoli (Fongoli),Fongoli (Individual 13),604,2,0.5857135947329336,Western,205.0
Fongoli,Fongoli,Individual 13,Fongoli (Fongoli),Fongoli (Individual 13),604,3,0.38410686869859284,Western,205.0
Fongoli,Fongoli,Individual 13,Fongoli (Fongoli),Fongoli (Individual 13),604,4,0.4285711663390073,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,1,0.7283948111005096,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,2,0.44000098662303594,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,3,0.5283014477465494,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,4,0.49504857806884367,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,5,0.38059767886342233,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,6,0.6747960414835413,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,7,0.470587666310388,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,8,0.5769240904611072,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,9,0.3975908985096656,Western,205.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),605,10,0.33333333333333337,Western,205.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),606,1,0.43621029649975346,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),606,2,0.6928627841308652,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),606,3,0.10175432937090383,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),606,4,0.45423015785266724,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),608,1,0.5212764902959776,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),608,2,0.3846150783222241,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),608,3,0.3495152437576467,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),608,4,0.5630249633467679,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),610,1,0.3292691680963627,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),610,2,0.45454545454545453,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),610,3,0.2444440084239166,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),610,4,0.635514035829254,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),610,5,0.7405065177463761,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),610,6,0.5124991262568106,Western,206.0
Fongoli,Fongoli,Individual 17,Fongoli (Fongoli),Fongoli (Individual 17),610,7,0.5270270807730091,Western,206.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),616,1,0.47959367648028844,Western,219.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),616,2,0.6144560171964403,Western,219.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),616,3,0.40506336019027145,Western,219.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),616,4,0.5402318208836934,Western,219.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),616,5,0.39999827620385614,Western,219.0
Fongoli,Fongoli,Individual 16,Fongoli (Fongoli),Fongoli (Individual 16),616,6,0.11299469875763289,Western,219.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),620,1,0.5463257823095082,Eastern,2328.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),620,2,0.7513220094067653,Eastern,2328.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),620,3,0.2848493592972006,Eastern,2328.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),620,4,0.65193286528635,Eastern,2328.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,1,0.294116995346776,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,2,0.28254227291473577,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,3,0.8160870837242618,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,4,0.6017742933773468,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,5,0.17241132901962605,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,6,0.5648554135187994,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,7,0.34082387703920747,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,8,0.580356947665277,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,9,0.49473723862147173,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,10,0.5333329147884465,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),622,11,0.44210653618614093,Eastern,2410.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),627,1,0.5128221053648573,Eastern,2325.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),627,2,0.1249996680014484,Eastern,2325.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),627,3,0.7621774272531605,Eastern,2325.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),627,4,0.5060974909288438,Eastern,2325.0
Gombe,Kasekela,Individual 34,Gombe (Kasekela),Kasekela (Individual 34),627,5,0.5294118681813543,Eastern,2325.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),640,1,0.6052635969302635,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),640,2,0.3061213267996054,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),640,3,0.21052657404490557,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),640,4,0.4329369166900771,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),641,1,0.5918379830459227,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),641,2,0.37036934249173203,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),641,3,0.18528606274432938,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),641,4,0.8422539056233659,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),642,1,0.5111105936051792,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),642,2,0.10114980852585141,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),642,3,0.8463202343784733,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),642,4,0.7319579609686955,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),642,5,0.2857156018241282,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),642,6,0.7386356599486503,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),643,1,0.6571427427619779,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),643,2,0.10055842963387399,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),643,3,0.8846154734464425,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),643,4,0.37168184388298664,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),643,5,0.2184612121314024,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),643,6,0.8610157609229994,Eastern,2283.0
Gombe,Kasekela,Individual 32,Gombe (Kasekela),Kasekela (Individual 32),644,1,0.8870959809841261,Eastern,2283.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),660,1,0.6933130801973412,Eastern,4541.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),660,2,0.09944776395853772,Eastern,4541.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),660,3,0.9115910609156019,Eastern,4541.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),661,1,0.42256867493247313,Eastern,4822.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),661,2,0.5073833846277229,Eastern,4822.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),663,1,0.4092057863456462,Eastern,4761.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),663,2,0.45924470698445535,Eastern,4761.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),663,3,0.7234032961881063,Eastern,4761.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),663,4,0.19259356912375858,Eastern,4761.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),663,5,0.5554140072376773,Eastern,4761.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),664,1,0.7251465870118375,Eastern,4759.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),664,2,0.19105625408543855,Eastern,4759.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),664,3,0.8045016175537081,Eastern,4759.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),665,1,0.17961272192853067,Eastern,4759.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),665,2,0.8366327936711849,Eastern,4759.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),666,1,0.5225608405812595,Eastern,4759.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),666,2,0.3359031251175209,Eastern,4759.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),667,1,0.2327049182304693,Eastern,4757.0
Kibale,Kanyawara,Individual 25,Kibale (Kanyawara),Kanyawara (Individual 25),667,2,0.762499131214215,Eastern,4757.0
Kibale,Kanyawara,Individual 29,Kibale (Kanyawara),Kanyawara (Individual 29),669,1,0.3828872058989569,Eastern,4542.0
Kibale,Kanyawara,Individual 29,Kibale (Kanyawara),Kanyawara (Individual 29),669,2,0.20204953577979043,Eastern,4542.0
Kibale,Kanyawara,Individual 29,Kibale (Kanyawara),Kanyawara (Individual 29),669,3,0.9332189858883725,Eastern,4542.0
Kibale,Kanyawara,Individual 29,Kibale (Kanyawara),Kanyawara (Individual 29),671,1,0.5322583087862244,Eastern,4757.0
Kibale,Kanyawara,Individual 29,Kibale (Kanyawara),Kanyawara (Individual 29),672,1,0.14727763676480385,Eastern,4757.0
Kibale,Kanyawara,Individual 29,Kibale (Kanyawara),Kanyawara (Individual 29),672,2,0.8608802765354987,Eastern,4757.0
Kibale,Kanyawara,Individual 29,Kibale (Kanyawara),Kanyawara (Individual 29),672,3,0.252154956040331,Eastern,4757.0
Kibale,Kanyawara,Individual 29,Kibale (Kanyawara),Kanyawara (Individual 29),672,4,0.5050945038126037,Eastern,4757.0
Kibale,Kanyawara,Individual 29,Kibale (Kanyawara),Kanyawara (Individual 29),672,5,0.5223097828402015,Eastern,4757.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),673,1,0.8570354503284014,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),673,2,0.0845584718728552,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,1,0.29687538145627457,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,2,0.7727409589167692,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,3,0.17887949240198608,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,4,0.584135145060595,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,5,0.5081051094414123,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,6,0.5971191316791531,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,7,0.5310190216061166,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,8,0.6752350390204711,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,9,0.4897962075904878,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,10,0.21186343426972407,Eastern,4809.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),674,11,0.4509530912751994,Eastern,4809.0
Kibale,Kanyawara,Individual 24,Kibale (Kanyawara),Kanyawara (Individual 24),676,1,0.0567378468225885,Eastern,4692.0
Kibale,Kanyawara,Individual 24,Kibale (Kanyawara),Kanyawara (Individual 24),676,2,0.9204147513581279,Eastern,4692.0
Kibale,Kanyawara,Individual 24,Kibale (Kanyawara),Kanyawara (Individual 24),676,3,0.13450370869977454,Eastern,4692.0
Kibale,Kanyawara,Individual 24,Kibale (Kanyawara),Kanyawara (Individual 24),677,1,0.10674149129341651,Eastern,4692.0
Kibale,Kanyawara,Individual 24,Kibale (Kanyawara),Kanyawara (Individual 24),677,2,0.7795529144366354,Eastern,4692.0
Kibale,Kanyawara,Individual 24,Kibale (Kanyawara),Kanyawara (Individual 24),677,3,0.8165672680751792,Eastern,4692.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),679,1,0.5089290277735186,Eastern,4664.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),679,2,0.5612247878175435,Eastern,4664.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),679,3,0.17916652753197318,Eastern,4664.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),679,4,0.8382979293511821,Eastern,4664.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),679,5,0.48101169514368936,Eastern,4664.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),679,6,0.4183676747616058,Eastern,4664.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),679,7,0.5277778513938617,Eastern,4664.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),686,1,0.7979791200273666,Eastern,4767.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),686,2,0.1941753027843676,Eastern,4767.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),686,3,0.7094013805838902,Eastern,4767.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),686,4,0.35602144769711075,Eastern,4767.0
Kibale,Kanyawara,Individual 28,Kibale (Kanyawara),Kanyawara (Individual 28),686,5,0.5347831597468148,Eastern,4767.0
Kibale,Kanyawara,Individual 24,Kibale (Kanyawara),Kanyawara (Individual 24),687,1,0.15455981827076085,Eastern,4638.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),689,1,0.2565022595473147,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),689,2,0.6506841612791663,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),689,3,0.5257737226510479,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),689,4,0.36220522377137954,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),689,5,0.5094335946632584,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),690,1,0.6437507012928725,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),690,2,0.29842902409832334,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),690,3,0.893334468148487,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),690,4,0.11764567834596701,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),690,5,0.3571433660178059,Western,8831.0
Taï,Middle,Individual 37,Taï (Middle),Middle (Individual 37),691,1,0.4897499132981388,Western,8831.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),692,1,0.19780179375730436,Western,8848.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),692,2,0.5887095375304764,Western,8848.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),692,3,0.4358979072831449,Western,8848.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),692,4,0.6947361271138258,Western,8848.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),692,5,0.5087735481192951,Western,8848.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),692,6,0.19047541628595863,Western,8848.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),692,7,0.6296300042993349,Western,8848.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),692,8,0.8235304041230506,Western,8848.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),694,1,0.33333237773885327,Western,8811.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),694,2,0.29591883479628533,Western,8811.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),694,3,0.587233595443966,Western,8811.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),694,4,0.595092587775537,Western,8811.0
Taï,Middle,Individual 38,Taï (Middle),Middle (Individual 38),694,5,0.7630053803435808,Western,8811.0
